age_at_trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
10,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,10.99,11.99,12.99,13.99,14.99,15.98,16.98,17.98,18.97,19.97,20.96,21.96,22.95,23.95,24.94,25.93,26.92,27.92,28.91,29.89,30.88,31.87,32.86,33.84,34.82,35.81,36.79,37.77,38.74,39.72,40.69,41.66,42.63,43.6,44.57,45.53,46.49,47.45,48.4,49.36,50.3,51.25,52.19,53.12,54.06,54.98,55.9,56.82,57.72,58.62,59.52,60.4,61.28,62.15,63.01,63.85,64.69,65.51,66.32,67.11,67.88,68.64,69.38,70.09,70.78,71.45,72.09,72.7,73.28,73.83,74.34,74.81,75.25,75.64,75.99,76.29,76.56,76.78,76.95,77.09,77.2,77.28,77.33,77.37,77.39,77.4,77.41,77.41,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42
11,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,9.99,10.99,11.99,12.99,13.99,14.98,15.98,16.98,17.97,18.97,19.96,20.96,21.95,22.95,23.94,24.93,25.92,26.92,27.91,28.89,29.88,30.87,31.86,32.84,33.82,34.81,35.79,36.76,37.74,38.72,39.69,40.66,41.63,42.6,43.56,44.53,45.49,46.44,47.4,48.35,49.3,50.24,51.18,52.12,53.05,53.97,54.89,55.8,56.71,57.61,58.5,59.39,60.26,61.13,61.98,62.83,63.66,64.48,65.29,66.08,66.85,67.6,68.34,69.05,69.74,70.4,71.04,71.65,72.22,72.76,73.27,73.74,74.17,74.56,74.9,75.21,75.46,75.68,75.85,75.99,76.1,76.17,76.23,76.26,76.28,76.29,76.3,76.3,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31
12,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,9.99,10.99,11.99,12.99,13.98,14.98,15.98,16.97,17.97,18.96,19.96,20.95,21.95,22.94,23.93,24.92,25.91,26.91,27.89,28.88,29.87,30.85,31.84,32.82,33.8,34.78,35.76,36.74,37.71,38.69,39.66,40.63,41.59,42.56,43.52,44.48,45.44,46.39,47.34,48.29,49.23,50.17,51.11,52.04,52.96,53.88,54.79,55.7,56.6,57.49,58.37,59.24,60.11,60.96,61.81,62.64,63.45,64.26,65.04,65.81,66.57,67.3,68.01,68.69,69.35,69.99,70.59,71.16,71.7,72.2,72.67,73.09,73.48,73.82,74.12,74.37,74.58,74.75,74.89,74.99,75.07,75.12,75.15,75.17,75.19,75.19,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2
13,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,8.99,9.99,10.99,11.99,12.98,13.98,14.98,15.97,16.97,17.96,18.96,19.95,20.95,21.94,22.93,23.92,24.91,25.9,26.89,27.88,28.87,29.85,30.84,31.82,32.8,33.78,34.76,35.74,36.71,37.68,38.66,39.62,40.59,41.56,42.52,43.48,44.43,45.39,46.34,47.28,48.23,49.16,50.1,51.03,51.95,52.87,53.78,54.68,55.58,56.47,57.35,58.23,59.09,59.94,60.78,61.61,62.43,63.23,64.01,64.78,65.53,66.26,66.97,67.65,68.31,68.93,69.53,70.1,70.64,71.13,71.6,72.02,72.4,72.73,73.03,73.28,73.49,73.66,73.79,73.89,73.96,74.01,74.04,74.06,74.08,74.08,74.09,74.09,74.09,74.09,74.09,74.09,74.09,74.09,74.09,74.09,74.09,74.09,74.09,74.09,74.09,74.09,74.09,74.09
14,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,7.99,8.99,9.99,10.99,11.98,12.98,13.98,14.97,15.97,16.97,17.96,18.95,19.95,20.94,21.93,22.92,23.92,24.91,25.89,26.88,27.87,28.85,29.84,30.82,31.8,32.78,33.76,34.74,35.71,36.68,37.65,38.62,39.59,40.55,41.51,42.47,43.43,44.38,45.33,46.28,47.22,48.16,49.09,50.02,50.94,51.86,52.77,53.67,54.57,55.46,56.34,57.21,58.07,58.92,59.76,60.59,61.4,62.2,62.98,63.75,64.49,65.22,65.92,66.6,67.26,67.88,68.48,69.04,69.57,70.07,70.52,70.94,71.32,71.65,71.94,72.19,72.39,72.56,72.69,72.78,72.85,72.9,72.94,72.96,72.97,72.97,72.98,72.98,72.98,72.98,72.98,72.98,72.98,72.98,72.98,72.98,72.98,72.98,72.98,72.98,72.98,72.98,72.98,72.98
15,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,7.99,8.99,9.99,10.99,11.98,12.98,13.98,14.97,15.97,16.96,17.95,18.95,19.94,20.93,21.93,22.92,23.91,24.89,25.88,26.87,27.85,28.84,29.82,30.8,31.78,32.76,33.73,34.71,35.68,36.65,37.62,38.59,39.55,40.51,41.47,42.42,43.38,44.33,45.27,46.21,47.15,48.08,49.01,49.93,50.85,51.75,52.66,53.55,54.44,55.32,56.19,57.05,57.9,58.74,59.56,60.37,61.17,61.95,62.71,63.46,64.18,64.88,65.56,66.21,66.83,67.42,67.98,68.51,69.0,69.45,69.86,70.24,70.57,70.85,71.09,71.29,71.46,71.58,71.68,71.75,71.8,71.83,71.85,71.86,71.86,71.87,71.87,71.87,71.87,71.87,71.87,71.87,71.87,71.87,71.87,71.87,71.87,71.87,71.87,71.87,71.87,71.87,71.87
16,,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,6.99,7.99,8.99,9.99,10.98,11.98,12.98,13.97,14.97,15.96,16.96,17.95,18.94,19.93,20.93,21.92,22.91,23.9,24.88,25.87,26.86,27.84,28.82,29.8,30.78,31.76,32.73,33.71,34.68,35.65,36.62,37.58,38.55,39.51,40.47,41.42,42.37,43.32,44.27,45.21,46.14,47.07,48.0,48.92,49.84,50.74,51.65,52.54,53.43,54.3,55.17,56.03,56.88,57.72,58.54,59.35,60.14,60.92,61.68,62.42,63.14,63.84,64.52,65.16,65.78,66.37,66.92,67.45,67.93,68.38,68.79,69.16,69.48,69.76,70.0,70.2,70.36,70.48,70.58,70.65,70.69,70.72,70.74,70.75,70.76,70.76,70.76,70.76,70.76,70.76,70.76,70.76,70.76,70.76,70.76,70.76,70.76,70.76,70.76,70.76,70.76,70.76,70.76
17,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,6.99,7.99,8.99,9.99,10.98,11.98,12.97,13.97,14.96,15.96,16.95,17.94,18.94,19.93,20.92,21.91,22.9,23.89,24.87,25.86,26.84,27.82,28.8,29.78,30.76,31.74,32.71,33.68,34.65,35.62,36.58,37.55,38.51,39.46,40.42,41.37,42.32,43.26,44.2,45.14,46.07,46.99,47.91,48.83,49.74,50.64,51.53,52.41,53.29,54.16,55.02,55.86,56.7,57.52,58.33,59.12,59.89,60.65,61.39,62.11,62.8,63.47,64.12,64.73,65.32,65.87,66.39,66.87,67.31,67.72,68.08,68.4,68.68,68.91,69.11,69.26,69.39,69.48,69.54,69.59,69.62,69.64,69.65,69.65,69.66,69.66,69.66,69.66,69.66,69.66,69.66,69.66,69.66,69.66,69.66,69.66,69.66,69.66,69.66,69.66,69.66,69.66
18,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,5.99,6.99,7.99,8.99,9.98,10.98,11.98,12.97,13.97,14.96,15.95,16.95,17.94,18.93,19.92,20.91,21.9,22.89,23.87,24.86,25.84,26.83,27.81,28.79,29.76,30.74,31.71,32.68,33.65,34.62,35.58,36.55,37.51,38.46,39.42,40.37,41.32,42.26,43.2,44.14,45.07,45.99,46.91,47.82,48.73,49.63,50.52,51.4,52.28,53.15,54.0,54.85,55.68,56.5,57.3,58.09,58.87,59.62,60.36,61.07,61.77,62.43,63.07,63.69,64.27,64.82,65.33,65.81,66.25,66.65,67.01,67.32,67.59,67.83,68.02,68.17,68.29,68.38,68.44,68.49,68.52,68.54,68.55,68.55,68.55,68.55,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56
19,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,5.99,6.99,7.99,8.99,9.98,10.98,11.97,12.97,13.96,14.96,15.95,16.94,17.93,18.93,19.91,20.9,21.89,22.88,23.86,24.85,25.83,26.81,27.79,28.77,29.74,30.71,31.69,32.66,33.62,34.59,35.55,36.51,37.47,38.42,39.37,40.32,41.26,42.2,43.13,44.06,44.99,45.91,46.82,47.72,48.62,49.51,50.4,51.27,52.14,52.99,53.83,54.66,55.48,56.29,57.07,57.84,58.6,59.33,60.04,60.73,61.4,62.03,62.64,63.22,63.76,64.27,64.75,65.18,65.58,65.93,66.25,66.51,66.74,66.93,67.08,67.2,67.29,67.35,67.39,67.42,67.44,67.45,67.45,67.45,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46
20,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,5.99,6.99,7.99,8.98,9.98,10.98,11.97,12.97,13.96,14.95,15.95,16.94,17.93,18.92,19.91,20.9,21.88,22.87,23.85,24.83,25.81,26.79,27.77,28.75,29.72,30.69,31.66,32.63,33.59,34.55,35.51,36.47,37.42,38.37,39.32,40.26,41.2,42.14,43.06,43.99,44.91,45.82,46.72,47.62,48.51,49.39,50.26,51.13,51.98,52.82,53.65,54.47,55.27,56.06,56.82,57.58,58.31,59.02,59.7,60.36,61.0,61.6,62.18,62.72,63.22,63.69,64.12,64.51,64.86,65.17,65.44,65.66,65.85,65.99,66.11,66.19,66.26,66.3,66.32,66.34,66.35,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36
21,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,5.99,6.99,7.99,8.98,9.98,10.98,11.97,12.96,13.96,14.95,15.94,16.93,17.92,18.91,19.9,20.89,21.87,22.86,23.84,24.82,25.8,26.78,27.75,28.73,29.7,30.67,31.63,32.6,33.56,34.52,35.48,36.43,37.38,38.33,39.27,40.21,41.14,42.07,42.99,43.91,44.82,45.72,46.62,47.51,48.39,49.26,50.12,50.97,51.81,52.64,53.46,54.26,55.04,55.81,56.55,57.28,57.99,58.67,59.33,59.96,60.56,61.13,61.67,62.17,62.64,63.06,63.45,63.8,64.1,64.36,64.58,64.76,64.91,65.02,65.1,65.16,65.2,65.23,65.25,65.26,65.26,65.26,65.27,65.27,65.27,65.27,65.27,65.27,65.27,65.27,65.27,65.27,65.27,65.27,65.27,65.27,65.27,65.27,65.27
