age_at_trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
10,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,11.99,12.99,13.99,14.99,15.99,16.99,17.98,18.98,19.98,20.98,21.97,22.97,23.97,24.96,25.96,26.95,27.95,28.94,29.93,30.93,31.92,32.91,33.9,34.89,35.88,36.87,37.86,38.84,39.83,40.81,41.8,42.78,43.76,44.74,45.71,46.69,47.66,48.63,49.6,50.57,51.53,52.49,53.45,54.41,55.36,56.31,57.25,58.19,59.12,60.05,60.97,61.89,62.8,63.7,64.6,65.48,66.36,67.22,68.08,68.92,69.74,70.55,71.34,72.11,72.86,73.58,74.28,74.95,75.59,76.19,76.75,77.28,77.76,78.19,78.57,78.91,79.19,79.43,79.62,79.76,79.87,79.95,80.01,80.04,80.06,80.07,80.08,80.08,80.08,80.08,80.08,80.08,80.08,80.08,80.08,80.08,80.08,80.08,80.08,80.08,80.08,80.08,80.08,80.08
11,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,10.99,11.99,12.99,13.99,14.99,15.99,16.98,17.98,18.98,19.98,20.97,21.97,22.97,23.96,24.96,25.95,26.95,27.94,28.94,29.93,30.92,31.91,32.9,33.89,34.88,35.87,36.86,37.84,38.83,39.81,40.79,41.78,42.76,43.73,44.71,45.69,46.66,47.63,48.6,49.57,50.53,51.49,52.45,53.4,54.35,55.3,56.24,57.18,58.11,59.04,59.96,60.88,61.79,62.69,63.58,64.47,65.34,66.21,67.06,67.89,68.72,69.52,70.31,71.08,71.83,72.55,73.24,73.91,74.54,75.14,75.7,76.22,76.7,77.12,77.5,77.83,78.12,78.35,78.53,78.68,78.79,78.86,78.91,78.95,78.97,78.98,78.98,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99
12,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,10.99,11.99,12.99,13.99,14.99,15.99,16.98,17.98,18.98,19.97,20.97,21.97,22.96,23.96,24.95,25.95,26.94,27.94,28.93,29.92,30.91,31.9,32.89,33.88,34.87,35.86,36.84,37.83,38.81,39.79,40.78,41.76,42.73,43.71,44.68,45.66,46.63,47.6,48.56,49.53,50.49,51.44,52.4,53.35,54.29,55.24,56.17,57.11,58.03,58.95,59.87,60.78,61.68,62.57,63.45,64.33,65.19,66.04,66.87,67.69,68.5,69.28,70.05,70.79,71.51,72.2,72.87,73.5,74.09,74.65,75.16,75.63,76.06,76.44,76.76,77.04,77.27,77.45,77.59,77.7,77.77,77.82,77.86,77.87,77.89,77.89,77.89,77.89,77.89,77.89,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9
13,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,9.99,10.99,11.99,12.99,13.99,14.99,15.98,16.98,17.98,18.98,19.97,20.97,21.96,22.96,23.95,24.95,25.94,26.94,27.93,28.92,29.91,30.9,31.89,32.88,33.87,34.86,35.84,36.83,37.81,38.79,39.77,40.75,41.73,42.71,43.68,44.66,45.63,46.59,47.56,48.52,49.48,50.44,51.39,52.34,53.29,54.23,55.17,56.1,57.02,57.94,58.86,59.77,60.67,61.56,62.44,63.31,64.17,65.02,65.85,66.67,67.47,68.26,69.02,69.76,70.48,71.17,71.82,72.45,73.04,73.59,74.11,74.57,74.99,75.37,75.69,75.96,76.19,76.37,76.51,76.61,76.68,76.73,76.76,76.78,76.79,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8
14,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,9.99,10.99,11.99,12.99,13.99,14.98,15.98,16.98,17.98,18.97,19.97,20.97,21.96,22.96,23.95,24.94,25.94,26.93,27.92,28.91,29.9,30.89,31.88,32.87,33.86,34.84,35.83,36.81,37.79,38.77,39.75,40.73,41.71,42.68,43.65,44.62,45.59,46.56,47.52,48.48,49.44,50.39,51.34,52.28,53.22,54.16,55.09,56.02,56.94,57.85,58.76,59.65,60.54,61.42,62.29,63.15,64.0,64.83,65.65,66.45,67.23,67.99,68.73,69.44,70.13,70.78,71.41,71.99,72.54,73.05,73.51,73.93,74.3,74.62,74.88,75.11,75.28,75.42,75.52,75.59,75.64,75.67,75.69,75.7,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71
15,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,8.99,9.99,10.99,11.99,12.99,13.99,14.98,15.98,16.98,17.97,18.97,19.97,20.96,21.96,22.95,23.95,24.94,25.93,26.92,27.91,28.9,29.89,30.88,31.87,32.86,33.84,34.83,35.81,36.79,37.77,38.75,39.73,40.71,41.68,42.65,43.62,44.59,45.56,46.52,47.48,48.43,49.38,50.33,51.28,52.22,53.15,54.08,55.01,55.93,56.84,57.75,58.64,59.53,60.41,61.28,62.14,62.98,63.81,64.63,65.42,66.2,66.96,67.7,68.41,69.09,69.74,70.36,70.94,71.49,71.99,72.45,72.86,73.23,73.54,73.81,74.03,74.2,74.34,74.44,74.51,74.55,74.58,74.6,74.61,74.61,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62
16,,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,8.99,9.99,10.99,11.99,12.99,13.98,14.98,15.98,16.98,17.97,18.97,19.96,20.96,21.95,22.95,23.94,24.93,25.92,26.92,27.91,28.9,29.88,30.87,31.86,32.85,33.83,34.81,35.8,36.78,37.75,38.73,39.71,40.68,41.65,42.62,43.59,44.55,45.52,46.47,47.43,48.38,49.33,50.27,51.21,52.15,53.08,54.0,54.92,55.83,56.74,57.63,58.52,59.4,60.26,61.12,61.96,62.79,63.6,64.4,65.18,65.93,66.67,67.37,68.05,68.7,69.32,69.9,70.44,70.94,71.39,71.8,72.16,72.47,72.73,72.95,73.12,73.25,73.35,73.42,73.46,73.49,73.51,73.52,73.52,73.53,73.53,73.53,73.53,73.53,73.53,73.53,73.53,73.53,73.53,73.53,73.53,73.53,73.53,73.53,73.53,73.53
17,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,8.99,9.99,10.99,11.99,12.99,13.98,14.98,15.98,16.97,17.97,18.97,19.96,20.95,21.95,22.94,23.93,24.93,25.92,26.91,27.9,28.89,29.87,30.86,31.85,32.83,33.81,34.8,35.78,36.76,37.73,38.71,39.68,40.65,41.62,42.59,43.55,44.52,45.47,46.43,47.38,48.33,49.27,50.21,51.14,52.07,53.0,53.91,54.82,55.73,56.62,57.51,58.39,59.25,60.11,60.95,61.77,62.58,63.38,64.15,64.91,65.64,66.34,67.02,67.66,68.27,68.85,69.39,69.88,70.33,70.74,71.09,71.4,71.66,71.87,72.04,72.17,72.26,72.33,72.38,72.4,72.42,72.43,72.43,72.44,72.44,72.44,72.44,72.44,72.44,72.44,72.44,72.44,72.44,72.44,72.44,72.44,72.44,72.44,72.44,72.44
18,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,7.99,8.99,9.99,10.99,11.99,12.99,13.98,14.98,15.98,16.97,17.97,18.96,19.96,20.95,21.94,22.94,23.93,24.92,25.91,26.9,27.89,28.88,29.86,30.85,31.83,32.82,33.8,34.78,35.76,36.74,37.71,38.68,39.66,40.62,41.59,42.55,43.52,44.47,45.43,46.38,47.33,48.27,49.21,50.14,51.07,51.99,52.91,53.82,54.72,55.61,56.5,57.37,58.24,59.09,59.93,60.76,61.56,62.36,63.13,63.88,64.61,65.31,65.98,66.62,67.23,67.8,68.34,68.83,69.28,69.68,70.03,70.33,70.58,70.79,70.96,71.09,71.18,71.24,71.29,71.32,71.33,71.34,71.35,71.35,71.35,71.35,71.35,71.35,71.35,71.35,71.35,71.35,71.35,71.35,71.35,71.35,71.35,71.35,71.35,71.35
19,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,7.99,8.99,9.99,10.99,11.99,12.98,13.98,14.98,15.97,16.97,17.96,18.96,19.95,20.95,21.94,22.93,23.92,24.91,25.9,26.89,27.88,28.87,29.85,30.84,31.82,32.8,33.78,34.76,35.74,36.71,37.69,38.66,39.63,40.59,41.56,42.52,43.47,44.43,45.38,46.32,47.27,48.2,49.14,50.07,50.99,51.9,52.81,53.71,54.61,55.49,56.36,57.23,58.08,58.91,59.74,60.55,61.34,62.11,62.85,63.58,64.28,64.95,65.59,66.19,66.76,67.29,67.78,68.22,68.61,68.96,69.26,69.51,69.72,69.88,70.0,70.09,70.16,70.2,70.23,70.24,70.25,70.26,70.26,70.26,70.26,70.26,70.26,70.26,70.26,70.26,70.26,70.26,70.26,70.26,70.26,70.26,70.26,70.26,70.26
