age,-2.0,-1.75,-1.5,-1.0,-0.75,-0.5,-0.25,0.0,0.5,1.0,1.5,2.0,2.5,3.0
16,58.85,55.67,52.71,47.39,44.99,42.76,40.68,38.73,35.21,32.12,29.41,27.02,24.91,23.03
17,56.68,53.7,50.93,45.92,43.66,41.55,39.58,37.73,34.38,31.44,28.85,26.55,24.52,22.71
18,54.56,51.77,49.17,44.47,42.34,40.35,38.48,36.74,33.56,30.75,28.27,26.07,24.12,22.38
19,52.48,49.88,47.44,43.03,41.03,39.15,37.39,35.74,32.72,30.06,27.69,25.59,23.71,22.04
20,50.44,48.02,45.74,41.61,39.73,37.96,36.3,34.74,31.89,29.35,27.1,25.09,23.3,21.69
21,48.45,46.19,44.07,40.2,38.44,36.78,35.21,33.74,31.05,28.65,26.5,24.59,22.87,21.32
22,46.49,44.39,42.42,38.8,37.15,35.6,34.13,32.75,30.2,27.93,25.9,24.07,22.43,20.95
23,44.58,42.63,40.79,37.42,35.88,34.43,33.05,31.75,29.35,27.21,25.28,23.54,21.98,20.57
24,42.7,40.89,39.19,36.06,34.62,33.26,31.97,30.75,28.5,26.48,24.65,23.01,21.52,20.17
25,40.86,39.19,37.61,34.71,33.37,32.1,30.9,29.75,27.64,25.74,24.02,22.46,21.05,19.76
26,39.06,37.52,36.06,33.37,32.13,30.94,29.82,28.76,26.78,24.99,23.37,21.9,20.56,19.34
27,37.29,35.87,34.53,32.04,30.89,29.8,28.75,27.76,25.92,24.24,22.72,21.33,20.07,18.91
28,35.56,34.26,33.03,30.73,29.67,28.65,27.69,26.77,25.05,23.48,22.06,20.75,19.56,18.47
29,33.86,32.68,31.54,29.44,28.46,27.52,26.63,25.77,24.18,22.72,21.39,20.16,19.04,18.01
30,32.2,31.12,30.09,28.15,27.25,26.39,25.57,24.78,23.3,21.95,20.7,19.56,18.51,17.54
31,30.58,29.59,28.65,26.88,26.06,25.27,24.51,23.78,22.42,21.17,20.01,18.95,17.97,17.06
32,28.98,28.09,27.23,25.63,24.87,24.15,23.46,22.79,21.54,20.38,19.31,18.32,17.41,16.56
33,27.42,26.62,25.84,24.38,23.7,23.04,22.41,21.8,20.65,19.59,18.6,17.69,16.84,16.05
34,25.89,25.17,24.47,23.15,22.53,21.94,21.36,20.81,19.76,18.78,17.88,17.04,16.25,15.52
35,24.4,23.75,23.12,21.94,21.38,20.84,20.32,19.81,18.86,17.97,17.15,16.37,15.65,14.98
36,22.93,22.35,21.79,20.73,20.23,19.75,19.28,18.82,17.96,17.16,16.4,15.7,15.04,14.42
37,21.49,20.98,20.48,19.54,19.09,18.66,18.24,17.83,17.06,16.33,15.65,15.01,14.41,13.84
38,20.08,19.63,19.2,18.36,17.96,17.58,17.2,16.84,16.15,15.5,14.89,14.31,13.77,13.25
39,18.7,18.31,17.93,17.19,16.84,16.5,16.17,15.85,15.24,14.66,14.11,13.6,13.11,12.64
40,17.35,17.01,16.68,16.04,15.73,15.44,15.15,14.86,14.32,13.81,13.33,12.87,12.43,12.02
41,16.03,15.73,15.45,14.9,14.63,14.37,14.12,13.88,13.4,12.96,12.53,12.12,11.74,11.37
42,14.73,14.48,14.24,13.76,13.54,13.31,13.1,12.89,12.48,12.09,11.72,11.37,11.03,10.71
43,13.46,13.25,13.04,12.64,12.45,12.26,12.08,11.9,11.55,11.22,10.9,10.59,10.3,10.02
44,12.21,12.04,11.87,11.53,11.37,11.21,11.06,10.91,10.62,10.34,10.07,9.81,9.56,9.32
45,10.99,10.85,10.71,10.44,10.3,10.17,10.05,9.92,9.68,9.44,9.22,9.0,8.79,8.59
46,9.79,9.68,9.57,9.35,9.24,9.14,9.03,8.93,8.74,8.55,8.36,8.18,8.01,7.85
47,8.62,8.53,8.44,8.27,8.19,8.1,8.02,7.94,7.79,7.64,7.49,7.35,7.21,7.08
48,7.47,7.4,7.33,7.2,7.14,7.08,7.01,6.95,6.83,6.72,6.6,6.49,6.39,6.28
49,6.34,6.29,6.24,6.15,6.1,6.05,6.01,5.96,5.88,5.79,5.71,5.62,5.54,5.47
50,5.23,5.2,5.17,5.1,5.07,5.04,5.0,4.97,4.91,4.85,4.79,4.74,4.68,4.62
51,4.15,4.13,4.1,4.06,4.04,4.02,4.0,3.98,3.94,3.9,3.87,3.83,3.79,3.76
52,3.08,3.07,3.06,3.03,3.02,3.01,3.0,2.99,2.97,2.95,2.92,2.9,2.88,2.86
53,2.04,2.03,2.03,2.02,2.01,2.0,2.0,1.99,1.98,1.98,1.97,1.96,1.95,1.94
54,1.01,1.01,1.01,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.98
