age,-2.0,-1.75,-1.5,-1.0,-0.75,-0.5,-0.25,0.0,0.5,1.0,1.5,2.0,2.5,3.0
16,48.39,46.14,44.02,40.16,38.4,36.74,35.18,33.71,31.02,28.62,26.48,24.56,22.85,21.31
17,46.44,44.34,42.37,38.76,37.11,35.56,34.09,32.71,30.17,27.9,25.87,24.05,22.41,20.93
18,44.52,42.57,40.74,37.38,35.84,34.38,33.01,31.71,29.32,27.18,25.25,23.52,21.96,20.55
19,42.64,40.84,39.14,36.01,34.58,33.22,31.93,30.71,28.47,26.45,24.63,22.98,21.5,20.15
20,40.81,39.14,37.57,34.66,33.33,32.06,30.86,29.72,27.61,25.71,23.99,22.44,21.03,19.74
21,39.01,37.47,36.02,33.33,32.09,30.91,29.79,28.73,26.75,24.97,23.35,21.88,20.54,19.33
22,37.24,35.83,34.49,32.01,30.86,29.76,28.72,27.73,25.89,24.22,22.7,21.31,20.05,18.9
23,35.52,34.22,32.99,30.7,29.64,28.62,27.66,26.74,25.02,23.46,22.04,20.74,19.54,18.45
24,33.83,32.64,31.51,29.41,28.43,27.49,26.6,25.75,24.15,22.7,21.37,20.15,19.03,18.0
25,32.17,31.09,30.05,28.12,27.22,26.36,25.54,24.75,23.28,21.93,20.69,19.54,18.5,17.53
26,30.54,29.56,28.62,26.86,26.03,25.24,24.48,23.76,22.4,21.15,19.99,18.93,17.95,17.04
27,28.95,28.06,27.2,25.6,24.85,24.13,23.43,22.77,21.52,20.36,19.29,18.31,17.39,16.55
28,27.39,26.59,25.81,24.36,23.67,23.02,22.38,21.78,20.63,19.57,18.58,17.67,16.82,16.03
29,25.86,25.14,24.44,23.13,22.51,21.91,21.34,20.78,19.74,18.76,17.86,17.02,16.24,15.51
30,24.37,23.72,23.09,21.91,21.35,20.81,20.29,19.79,18.84,17.96,17.13,16.36,15.64,14.96
31,22.9,22.32,21.77,20.71,20.21,19.72,19.25,18.8,17.94,17.14,16.39,15.68,15.02,14.4
32,21.47,20.95,20.46,19.52,19.07,18.64,18.22,17.81,17.04,16.31,15.63,15.0,14.4,13.83
33,20.06,19.61,19.17,18.34,17.94,17.56,17.18,16.82,16.13,15.48,14.87,14.29,13.75,13.24
34,18.68,18.29,17.9,17.17,16.82,16.48,16.15,15.83,15.22,14.64,14.1,13.58,13.09,12.63
35,17.33,16.99,16.66,16.02,15.71,15.42,15.13,14.85,14.31,13.8,13.31,12.85,12.42,12.0
36,16.01,15.71,15.43,14.88,14.61,14.35,14.1,13.86,13.39,12.94,12.51,12.11,11.73,11.36
37,14.71,14.46,14.22,13.75,13.52,13.3,13.08,12.87,12.46,12.08,11.71,11.35,11.02,10.69
38,13.44,13.23,13.02,12.63,12.43,12.25,12.06,11.88,11.54,11.2,10.89,10.58,10.29,10.01
39,12.2,12.02,11.85,11.52,11.36,11.2,11.05,10.9,10.6,10.32,10.05,9.8,9.55,9.31
40,10.98,10.84,10.69,10.42,10.29,10.16,10.03,9.91,9.67,9.43,9.21,8.99,8.79,8.58
41,9.78,9.67,9.56,9.34,9.23,9.13,9.02,8.92,8.73,8.54,8.35,8.18,8.0,7.84
42,8.61,8.52,8.43,8.26,8.18,8.1,8.02,7.94,7.78,7.63,7.48,7.34,7.2,7.07
43,7.46,7.39,7.33,7.2,7.13,7.07,7.01,6.95,6.83,6.71,6.6,6.49,6.38,6.28
44,6.34,6.29,6.24,6.14,6.1,6.05,6.01,5.96,5.87,5.79,5.7,5.62,5.54,5.46
45,5.23,5.2,5.16,5.1,5.07,5.03,5.0,4.97,4.91,4.85,4.79,4.73,4.68,4.62
46,4.15,4.12,4.1,4.06,4.04,4.02,4.0,3.98,3.94,3.9,3.86,3.83,3.79,3.75
47,3.08,3.07,3.06,3.03,3.02,3.01,3.0,2.99,2.97,2.94,2.92,2.9,2.88,2.86
48,2.04,2.03,2.03,2.01,2.01,2.0,2.0,1.99,1.98,1.97,1.97,1.96,1.95,1.94
49,1.01,1.01,1.01,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.98
