age,-2.0,-1.75,-1.5,-1.0,-0.75,-0.5,-0.25,0.0,0.5,1.0,1.5,2.0,2.5,3.0
16,58.51,55.36,52.42,47.14,44.76,42.55,40.48,38.55,35.05,31.98,29.29,26.91,24.82,22.95
17,56.35,53.39,50.64,45.67,43.43,41.34,39.38,37.55,34.22,31.3,28.72,26.44,24.42,22.63
18,54.23,51.47,48.89,44.22,42.11,40.13,38.28,36.55,33.39,30.61,28.15,25.96,24.02,22.29
19,52.16,49.58,47.16,42.78,40.8,38.94,37.19,35.55,32.56,29.91,27.56,25.48,23.61,21.95
20,50.13,47.72,45.47,41.37,39.5,37.75,36.1,34.55,31.72,29.21,26.97,24.98,23.2,21.6
21,48.14,45.9,43.8,39.96,38.22,36.57,35.02,33.56,30.88,28.5,26.38,24.47,22.77,21.23
22,46.2,44.12,42.16,38.58,36.94,35.4,33.94,32.57,30.04,27.79,25.77,23.96,22.33,20.86
23,44.29,42.36,40.54,37.2,35.67,34.23,32.86,31.57,29.2,27.07,25.15,23.43,21.88,20.48
24,42.42,40.64,38.95,35.84,34.42,33.07,31.79,30.58,28.35,26.34,24.53,22.9,21.42,20.08
25,40.59,38.94,37.38,34.5,33.17,31.91,30.72,29.59,27.49,25.6,23.9,22.35,20.95,19.67
26,38.8,37.28,35.83,33.16,31.93,30.76,29.65,28.59,26.63,24.86,23.25,21.79,20.46,19.25
27,37.04,35.64,34.31,31.85,30.7,29.62,28.58,27.6,25.77,24.11,22.6,21.23,19.97,18.82
28,35.32,34.04,32.81,30.54,29.49,28.48,27.52,26.61,24.91,23.35,21.94,20.65,19.46,18.38
29,33.64,32.46,31.34,29.25,28.28,27.35,26.46,25.62,24.04,22.59,21.27,20.06,18.94,17.92
30,31.99,30.91,29.89,27.97,27.08,26.23,25.41,24.63,23.16,21.82,20.59,19.46,18.41,17.45
31,30.37,29.39,28.46,26.71,25.89,25.11,24.36,23.64,22.29,21.04,19.9,18.84,17.87,16.97
32,28.79,27.9,27.05,25.46,24.72,24.0,23.31,22.65,21.41,20.26,19.2,18.22,17.31,16.47
33,27.24,26.44,25.67,24.23,23.55,22.89,22.27,21.66,20.52,19.47,18.49,17.59,16.74,15.96
34,25.72,25.0,24.31,23.0,22.39,21.8,21.23,20.68,19.64,18.67,17.77,16.94,16.16,15.44
35,24.23,23.59,22.97,21.79,21.24,20.7,20.19,19.69,18.75,17.87,17.05,16.28,15.56,14.89
36,22.77,22.2,21.65,20.6,20.1,19.62,19.15,18.71,17.85,17.05,16.31,15.61,14.95,14.34
37,21.35,20.84,20.35,19.41,18.97,18.54,18.12,17.72,16.95,16.23,15.56,14.92,14.33,13.77
38,19.95,19.5,19.07,18.24,17.85,17.47,17.1,16.74,16.05,15.41,14.8,14.23,13.69,13.18
39,18.58,18.19,17.81,17.08,16.74,16.4,16.07,15.76,15.15,14.57,14.03,13.52,13.03,12.57
40,17.24,16.9,16.57,15.94,15.64,15.34,15.05,14.77,14.24,13.73,13.25,12.79,12.36,11.95
41,15.93,15.64,15.35,14.81,14.54,14.29,14.04,13.79,13.33,12.88,12.46,12.06,11.67,11.31
42,14.64,14.39,14.15,13.68,13.46,13.24,13.02,12.81,12.41,12.02,11.66,11.31,10.97,10.65
43,13.38,13.17,12.97,12.57,12.38,12.19,12.01,11.83,11.49,11.16,10.84,10.54,10.25,9.97
44,12.15,11.97,11.8,11.47,11.31,11.16,11.0,10.85,10.56,10.28,10.02,9.76,9.51,9.27
45,10.94,10.79,10.65,10.38,10.25,10.12,10.0,9.87,9.63,9.4,9.18,8.96,8.75,8.55
46,9.75,9.63,9.52,9.31,9.2,9.1,8.99,8.89,8.7,8.51,8.32,8.15,7.98,7.81
47,8.58,8.49,8.41,8.24,8.15,8.07,7.99,7.91,7.76,7.61,7.46,7.32,7.18,7.05
48,7.44,7.37,7.31,7.18,7.11,7.05,6.99,6.93,6.81,6.69,6.58,6.47,6.37,6.26
49,6.32,6.27,6.22,6.13,6.08,6.03,5.99,5.94,5.86,5.77,5.69,5.61,5.53,5.45
50,5.22,5.18,5.15,5.09,5.05,5.02,4.99,4.96,4.9,4.84,4.78,4.72,4.67,4.61
51,4.14,4.12,4.1,4.05,4.03,4.01,3.99,3.97,3.93,3.9,3.86,3.82,3.78,3.75
52,3.08,3.06,3.05,3.03,3.02,3.01,3.0,2.98,2.96,2.94,2.92,2.9,2.88,2.86
53,2.03,2.03,2.02,2.01,2.01,2.0,2.0,1.99,1.98,1.97,1.96,1.95,1.94,1.93
54,1.01,1.01,1.01,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.98
